date,code,name,market,stage,close,a_low,b_neckline,c_low,invalidation,volume_ratio,avg20_lots,avg20_turnover,entry_lower,entry_upper,stop_price,entry_status,entry_fail_reasons,structure_zone_lower,structure_zone_upper,structure_zone_source
2026-09-24,3680,家登,上櫃,接近B點,542.0,434.0,542.0,488.5,483.62,0.85,2115.0,1132291887.0,545.0,558.0,531.0,僅觀察,,,,
2026-09-24,3017,奇鋐,上市,接近B點,3555.0,2740.0,3570.0,3100.0,3069.0,0.84,3065.0,10361473266.0,3590.0,3675.0,3495.0,僅觀察,,,,
2026-09-24,1503,士電,上市,接近B點,196.0,181.0,201.0,192.0,190.08,0.8,1472.0,300620427.0,202.5,207.0,196.5,僅觀察,,,,
2026-09-24,2467,志聖,上市,接近B點,529.0,430.0,530.0,505.0,499.95,0.8,1087.0,630140876.0,533.0,545.0,519.0,僅觀察,,,,
2026-09-24,6770,力積電,上市,接近B點,72.0,66.2,73.3,66.7,66.03,0.79,130249.0,9317223959.0,73.7,75.4,71.8,僅觀察,,,,
2026-09-24,6789,采鈺,上市,接近B點,465.5,413.0,478.5,425.0,420.75,0.76,1447.0,680554693.0,481.0,492.5,468.5,僅觀察,,,,
2026-09-24,2360,致茂,上市,接近B點,2295.0,2065.0,2340.0,2070.0,2049.3,0.74,2274.0,5051343448.0,2355.0,2410.0,2290.0,僅觀察,,,,
2026-09-24,3013,晟銘電,上市,接近B點,84.5,81.1,85.5,81.5,80.69,0.73,1304.0,113747440.0,86.0,88.0,83.7,僅觀察,,,,
2026-09-24,2382,廣達,上市,接近B點,338.5,295.0,342.0,328.0,324.72,0.71,14725.0,4982089568.0,344.0,352.0,335.0,僅觀察,,,,
2026-09-24,2408,南亞科,上市,接近B點,503.0,380.5,502.0,470.0,465.3,0.71,64761.0,33367372841.0,505.0,517.0,491.5,僅觀察,,,,
2026-09-24,6269,台郡,上市,接近B點,64.8,51.8,65.6,59.0,58.41,0.67,8450.0,605139363.0,66.0,67.5,64.2,僅觀察,,,,
2026-09-24,1513,中興電,上市,接近B點,166.0,154.0,168.0,162.0,160.38,0.63,1915.0,317441157.0,169.0,173.0,164.5,僅觀察,,,,
2026-09-24,4958,臻鼎-KY,上市,接近B點,475.5,368.0,488.0,421.5,417.28,0.62,31451.0,15509499196.0,490.5,502.0,478.0,僅觀察,,,,
2026-09-24,6488,環球晶,上櫃,接近B點,948.0,778.0,952.0,823.0,814.77,0.59,10346.0,9830989380.0,957.0,980.0,932.0,僅觀察,,,,
2026-09-24,3006,晶豪科,上市,接近B點,275.0,236.0,282.5,263.0,260.37,0.58,16840.0,4848604273.0,284.0,290.5,276.5,僅觀察,,,,
2026-09-24,2301,光寶科,上市,接近B點,287.0,176.5,287.0,271.0,268.29,0.57,22094.0,6575000780.0,288.5,295.5,281.0,僅觀察,,,,
2026-09-24,5443,均豪,上櫃,接近B點,107.0,88.0,109.5,99.0,98.01,0.56,2579.0,291277816.0,110.5,112.5,107.0,僅觀察,,,,
2026-09-24,2324,仁寶,上市,接近B點,36.5,33.2,37.35,35.65,35.29,0.54,51613.0,2019304843.0,37.55,38.45,36.6,僅觀察,,,,
2026-09-24,3363,上詮,上櫃,接近B點,652.0,458.5,652.0,549.0,543.51,0.54,4532.0,3292196762.0,656.0,671.0,638.0,僅觀察,,,,
2026-09-24,2376,技嘉,上市,接近B點,361.5,335.5,360.5,341.0,337.59,0.53,5327.0,1907057705.0,362.5,371.0,353.0,僅觀察,,,,
2026-09-24,3008,大立光,上市,接近B點,6245.0,3670.0,6290.0,5930.0,5870.7,0.53,2383.0,16147826755.0,6325.0,6475.0,6160.0,僅觀察,,,,
2026-09-24,6830,汎銓,上市,接近B點,540.0,307.0,539.0,501.0,495.99,0.51,2134.0,1219700409.0,542.0,555.0,528.0,僅觀察,,,,
2026-09-24,3715,定穎投控,上市,接近B點,123.0,106.0,126.5,115.5,114.34,0.45,7158.0,899238287.0,127.5,130.0,123.5,僅觀察,,,,
2026-09-24,4908,前鼎,上櫃,接近B點,210.0,142.0,209.0,199.0,197.01,0.45,6350.0,1452594945.0,210.5,215.0,204.5,僅觀察,,,,
2026-09-24,2377,微星,上市,接近B點,151.5,138.5,155.0,144.5,143.06,0.43,9334.0,1433327225.0,156.0,159.5,151.5,僅觀察,,,,
2026-09-24,2441,超豐,上市,接近B點,124.0,92.0,125.0,110.0,108.9,0.42,4312.0,518328530.0,126.0,128.5,122.5,僅觀察,,,,
2026-09-24,2313,華通,上市,接近B點,222.5,204.0,224.0,213.0,210.87,0.32,30877.0,7391428558.0,225.5,230.5,219.5,僅觀察,,,,
2026-09-24,4977,眾達-KY,上市,接近B點,168.5,105.0,170.5,160.5,158.9,0.32,3837.0,675266484.0,171.5,175.5,167.0,僅觀察,,,,
2026-09-24,6239,力成,上市,接近B點,287.0,255.0,293.0,262.0,259.38,0.3,13139.0,3721963399.0,294.5,301.5,287.0,僅觀察,,,,
2026-09-24,2421,建準,上市,C點形成,167.0,147.0,179.5,158.0,156.42,0.88,4981.0,850631379.0,180.5,184.5,175.5,僅觀察,,,,
2026-09-24,3231,緯創,上市,C點形成,184.5,175.0,192.5,179.5,177.71,0.73,52655.0,9846589729.0,193.5,198.0,188.5,僅觀察,,,,
2026-09-24,2308,台達電,上市,C點形成,1910.0,1425.0,2005.0,1560.0,1544.4,0.64,11912.0,21145755645.0,2020.0,2065.0,1960.0,僅觀察,,,,
2026-09-24,6530,創威,上櫃,C點形成,100.0,74.7,105.0,89.4,88.51,0.61,2879.0,281339136.0,106.0,108.0,102.5,僅觀察,,,,
2026-09-24,6442,光聖,上市,C點形成,1530.0,1300.0,1795.0,1495.0,1480.05,0.52,2671.0,4514288344.0,1805.0,1845.0,1755.0,僅觀察,,,,
2026-09-24,4967,十銓,上市,C點形成,272.5,198.0,291.5,266.0,263.34,0.51,3167.0,878332789.0,293.0,300.0,285.5,僅觀察,,,,
2026-09-24,2385,群光,上市,C點形成,104.5,102.0,108.0,103.0,101.97,0.5,2890.0,307868126.0,109.0,111.0,105.5,僅觀察,,,,
2026-09-24,6829,千附精密,上櫃,C點形成,209.5,157.0,255.0,202.5,200.47,0.47,1088.0,255855585.0,256.5,262.5,249.5,僅觀察,,,,
2026-09-24,8358,金居,上櫃,C點形成,511.0,392.0,543.0,469.5,464.81,0.38,14876.0,7637202362.0,546.0,559.0,532.0,僅觀察,,,,
